Air,Primary,A,Fire+Water,2:00:00,100% (33%),0% (?%),0% (?%),0% (?%),
Winter,Epic,Se,cold+earth+air,24:00:00,4%,1% (5%),?% (?%),?% (?%),Stark Tundra
Sprout,Epic,Se,light+water+earth,36:00:00,3%,2% (5%),?% (?%),?% (?%),Budding Bayou
Leaf,Epic,Se,plant+water+light,37:00:00,3%,2% (5%),?% (?%),?% (?%),Photosynthetic Folly
Berry,Epic,Se,fire+water+light,16:00:00,3%,2% (5%),?% (?%),?% (?%),Fearsome Fruits
Seed,Epic,Se,cold+water+light,18:00:00,3%,1% (5%),?% (?%),?% (?%),Forage in the Great Forest
Bogberry,Epic,PWISe,Bog+Berry,16:00:00,3%,2% (10%),1% (?%),1% (?%),Six-Fingered Lake
Bloatato,Epic,HiSe,,16:06:40,0%,0% (30%),0% (30%),0% (30%),Starchy Goodness
Curlyleaf,Epic,HiSe,,17:21:40,0%,0% (30%),0% (30%),0% (30%),Go Green Every Day
Karroot,Epic,HiSe,,14:35:00,0%,0% (30%),0% (30%),0% (30%),I Am Root!
Vidalia,Epic,HiSe,,20:08:20,0%,0% (30%),0% (30%),0% (30%),Tears of Joy
Aubergine,Epic,HiSe,,20:50:00,0%,0% (30%),0% (30%),0% (30%),Purple Royale
Pouke,Epic,WISe,fire+water+light,20:00:00,3%,1.5% (10%),1% (30%),1% (30%),Picnic Time
Magnolia,Epic,Se,sun+plant,22:00:00,3%,3% (5%),5% (30%),5% (30%),Ancient Pink
Fomhar,Epic,Se,Seasonal+Autumn,23:00:00,3.25%,10% (20%),1% (30%),1% (30%),Pillar of Autumn
Bumi,Epic,Se,Pixie+Flowerhop,19:00:00,3.75%,1% (15%),5% (30%),5% (30%),Spring to Action
Cherrie,Epic,PSe,Sakura+Sumi,28:00:00,3.75%,1.5% (15%),5% (30%),5% (30%),Merry Cherry
Snowflake 1,Epic,Sn,snowflake+snowflake,2:30:00,20%,0% (0%),0% (0%),?% (0%),
Snowflake 2,Epic,Sn,snowflake+snowflake,2:30:00,20%,0% (0%),0% (0%),?% (0%),
Snowflake 3,Epic,Sn,snowflake+snowflake,25:00:00,5%,0% (0%),0% (0%),?% (0%),
Snowflake 4,Epic,Sn,snowflake+snowflake,25:00:00,5%,0% (0%),0% (0%),?% (0%),
Snowflake 5,Epic,Sn,snowflake+snowflake,40:00:00,1%,0% (0%),0% (0%),?% (0%),
Snowflake 6,Epic,Sn,snowflake+snowflake,42:00:00,1%,0% (0%),0% (0%),0% (0%),
Snowflake 7,Epic,Sn,snowflake+snowflake,44:00:00,1%,0% (0%),0% (0%),0% (0%),
Bone,Rare,FE,earth+fire,10:00:00,5%,4% (10%),1% (?%),1% (?%),Skeletal Pedestal
Ghost,Rare,EC,earth+cold,15:30:00,5%,4% (10%),1% (?%),1% (?%),Poltergeist Heist
Zombie,Epic,Ap,Meteor+Pollen,20:00:00,3%,1% (5%),10% (?%),?% (?%),Plaaaaaaaaains
Nosferatu,Rare,FEC,earth+cold+fire+[night],13:00:00,2%,1.5% (10%),7.5% (?%),7.5% (?%),Whitbee's Valley
Lycan,Rare,PCL,plant+cold+lightning,24:00:00,4%,1.5% (10%),1% (?%),1% (?%),Howling Hunt
Ortreat,Rare,PFE,plant+fire+earth,15:00:00,4%,1.5% (10%),1% (?%),1% (?%),Confabulated Confectionary
Spectre,Rare,EC,cold+earth,12:00:00,4%,1.5% (10%),1% (?%),1% (?%),Nevermore Cavern
Trick,Rare,PFE,plant+fire+earth,12:00:00,4%,1.5% (10%),1% (?%),1% (?%),Admiral Antics
Pharaoh,Epic,Su,Sun+Crypt,30:00:00,9% (3%),1% (5%),?% (?%),?% (?%),Tomb of Kings
Nether,Rare,FEM,fire+metal+earth,12:00:00,4%,1.5% (10%),1% (30%),1% (30%),Pancake Plunder
Bog,Rare,PFW,water+plant+fire,24:00:00,4%,0% (10%),0% (30%),?% (30%),Log in the Fog
Decay,Rare,FEC,fire+earth+cold,24:00:00,4%,0% (10%),0% (30%),?% (30%),Land Without Candy
Garden,Rare,PE,plant+earth,12:00:00,4%,1.5% (10%),1% (?%),1% (?%),Gardenia's Grace
Thicket,Rare,PEC,earth+plant+cold,15:00:00,4%,0% (10%),0% (30%),?% (30%),Divine Vine
Nightbloom,Epic,PDMo,plant+dark+moon,27:00:00,3% (1.5%),1% (5%),5% (30%),?% (30%),Night Flight
Dracabra,Rare,PFEL,Lycan+Decay,12:00:00,4%,1.5% (10%),1% (?%),1% (?%),Hanging In There
Gargoyle,Rare,PEWL,Trick+monolith,15:00:00,4%,1.5% (10%),1% (?%),1% (?%),Gravel Gathering
Oni,Rare,FEC,fire+earth+cold,12:00:00,4%,1.5% (10%),1% (?%),1% (?%),Den Development
Spirit,Rare,EC,Ghost+Spectre,15:00:00,4%,1.5% (10%),1% (?%),1% (?%),Wayward Wandering
Nesting,Rare,PFEC,fire+plant+earth+cold,24:00:00,2%,1.5% (10%),1% (?%),1% (?%),Infinite Regression
Corrupticorn,Epic,RRb,,48:00:00,0%,0% (0%),0% (0%),0% (15%),Beauty in Shadow
Chimneypuff,Rare,AD,dark+air,23:00:00,5%,4% (10%),1% (25%),1% (20%),Swift Sweeper
Porcelain,Rare,FE,,10:00:00,0%,0% (30%),0% (30%),0% (30%),Enamel Upgrade
Wrath,Rare,PFL,,5:00:00,0%,0% (30%),0% (30%),0% (30%),A Malcontent's Mutation
Chitin,Rare,MD,dark+metal,26:00:00,4%,4% (10%),1% (25%),1% (20%),Creepy Crawler
Auroch,Rare,EM,metal+earth,22:00:00,4%,4% (10%),1% (?%),1% (?%),Bullish Tendencies
Eldritch,Rare,PFEC,fire+plant+earth+cold,24:00:00,0.2%,1.5% (10%),0.75% (30%),0.75% (30%),Shrouded in Mystery
Charlatan,Epic,Ap,Apocalypse+Spirit,16:00:00,0.5% (1%),1.5% (10%),0.75% (30%),0.75% (30%),Composed Conquest
Scourge,Epic,Ap,Decay+Misfortune,11:30:00,0.5% (1%),1.5% (10%),0.75% (30%),0.75% (30%),Feast or Famine
Barbarous,Epic,Ap,Oni+Ragnarok,13:45:00,0.5% (1%),1.5% (10%),0.75% (30%),0.75% (30%),Ruins of War
Macabre,Epic,Ap,Spectre+Zombie,16:39:36,0.5% (1%),1.5% (10%),0.75% (30%),0.75% (30%),Death Defying
Gatren,Rare,FECD,Oni+Eldritch,19:00:00,3%,1.5% (15%),1% (30%),1% (30%),When Life Gives You Limestones
Kwall,Rare,PWID,water+light+plant,19:00:00,3%,1.5% (5%),0.75% (30%),0.75% (30%),Let's See This Through
Malefice,Rare,PEC,Spirit+Scourge,19:00:00,3%,1.5% (5%),0.75% (30%),0.75% (30%),Noisy Neighbour
Maw,Rare,PFE,Trick+Ortreat,20:00:00,3%,1.5% (5%),0.75% (30%),0.75% (30%),Good Mawning
Wendigo,Epic,FECAp,Macabre+Bone,22:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Zombie Juice Diet
Ocular,Epic,FLMOl,Cyclops+Barbarous,23:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Insightful
Iden,Epic,PADDr,Charlatan+Nightbloom,24:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Reaching For The Scarlet Moon
Nox,Rare,IDR,Voltaic+Antumbra+rift,48:00:00,3%,0% (0%),0% (0%),0.25% (10%),From the Great Beyond
Funis,Rare,PFWI,Wick+Bog,16:00:00,5%,10% (20%),1% (30%),1% (30%),Nope Rope
Infernus,Rare,FCW,fire+water+cold,16:00:00,2%,10% (20%),1% (30%),1% (30%),Soothing Waters
Umbra,Epic,Hi,,30:00:00,0%,0% (20%),0% (30%),0% (30%),Enveloping Darkness
Dortal,Rare,PAID,Kwall+Iden,17:00:00,3.5%,10% (20%),1% (30%),1% (30%),Ribgate
Grimoire,Rare,CAID,dark+light+air+cold,18:00:00,3.2%,10% (20%),1% (30%),1% (30%),Book of Evil
Vampir,Rare,FECA,Nosferatu+Zombie,18:45:00,3.2%,10% (20%),1% (30%),1% (30%),Itsy Bitesy
Brood,Rare,FELD,Dracabra+Gatren,14:00:00,3.1%,10% (20%),1% (30%),1% (30%),Family Time
Rotblossom,Rare,PFEC,Thicket+Decay,15:00:00,3%,10% (20%),1% (30%),1% (30%),Daylight Deprivation
Amalgamate,Rare,FED,Bone+earth+fire+dark,20:00:00,3.1%,10% (20%),1% (30%),1% (30%),Twin Rivalry
Kage,Epic,Ap,Eldritch+Wrath,23:00:00,4%,1% (15%),5% (30%),5% (30%),Shadowy Visitor
Hydnellum,Epic,Ap,Wendigo+apocalypse,24:00:00,4%,1% (15%),5% (30%),5% (30%),A Fungus
Firefly,Hybrid,FL,lightning+fire,3:00:00,*%,10% (20%),1% (?%),1% (?%),Cold Light Chase
Firework,Rare,FA,fire+air,6:00:00,4%,2.5% (10%),1% (?%),1% (?%),Explosions in the Sky
Summer,Epic,Se,fire+lightning+water,24:00:00,4%,3% (5%),?% (?%),?% (?%),Sunshine Soirée
Kite,Rare,LAM,metal+air+lightning,22:00:00,4%,3% (10%),1% (?%),1% (?%),The Skies of Faridat
Leaf,Epic,Se,plant+water+light,37:00:00,3%,2% (5%),?% (?%),?% (?%),Photosynthetic Folly
Tidal,Rare,EWLD,Quake+Abyss,30:00:00,2%,2% (10%),1% (?%),1% (?%),Kamgwa Karst
Faire,Rare,PCLM,lightning+plant+cold+metal,54:00:00,0.5%,1% (10%),0.25% (?%),0.25% (?%),Fair is Fair
Sunscorch,Epic,WDMo,moon+water+dark,42:00:00,5%,1% (10%),1% (?%),1% (?%),Shaded Shelter
Sun,Epic,Su,cold+lightning+[day],48:00:00,3%,2% (5%),?% (?%),?% (?%),Solar Controller
Solstice,Epic,Su,Blazing+earth,23:30:00,3% (2%),1% (5%),?% (?%),?% (?%),Stones of Surya
Equinox,Epic,SuMo,Blazing+water,24:00:00,3% (2%),2% (5%),?% (?%),?% (?%),Hemisphere Mutineer
Solar Eclipse,Epic,SuMo,earth+air+fire,48:00:00,3% (2%),1% (5%),?% (?%),?% (?%),Age of Alignment
Lunar Eclipse,Epic,SuMo,air+cold+earth,48:00:00,3% (2%),1% (5%),?% (?%),?% (?%),Umbral Plunge
Dawn,Epic,SuMo,Moon+Sun+[day],20:00:00,1%,1% (5%),?% (?%),?% (?%),The Awakening
Dusk,Epic,SuMo,Sun+Moon+[night],20:00:00,1%,1% (5%),?% (?%),?% (?%),Half-light Hunt
Sunstruck,Epic,Su,Mirage+Heat,32:00:00,4%,2% (5%),?% (?%),?% (?%),Sol Strike
Midday,Epic,Su,Sun+Dusk+[day],16:00:00,3%,1% (5%),?% (?%),?% (?%),High Noon Rune
Pharaoh,Epic,Su,Sun+Crypt,30:00:00,9% (3%),1% (5%),?% (?%),?% (?%),Tomb of Kings
Solarflare,Galaxy,GaSu,galaxy+sun+[social cave],24:00:00,10%,1% (20%),0% (0%),0% (0%),Prowess Immeasurable
Monte,Epic,AISuMo,moon+sun+air+light,12:00:00,2%,1.5% (10%),0.75% (30%),0.75% (30%),Juicy Joy
Sailback,Epic,FWSuMo,moon+sun+water+fire,8:00:00,2%,1.5% (10%),0.75% (30%),0.75% (30%),Aquatic Anathema
Toco,Epic,PASuMo,moon+sun+air+plant,8:00:00,2%,1.5% (10%),0.75% (30%),0.75% (30%),Big-billed Beats
Vibe,Epic,PLSuMo,moon+sun+plant+lightning,12:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Scene Maker
Elegant,Epic,PISuMo,moon+sun+plant+light,12:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Grand Entrance
Ruckus,Epic,FISuMo,moon+sun+fire+light,10:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Bring It On!
Dazzle,Epic,LDSuMo,moon+sun+lightning+dark,17:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),A Star is Bred
Razzle,Epic,ADSuMo,moon+sun+air+dark,14:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Hysterical Hype
Solis,Galaxy,GaSu,Sun+galaxy,24:00:00,2%,5% (20%),0% (0%),0% (0%),Stay Lit
Lightmatter,Epic,RbSu,Pharaoh+Prism+[day],25:00:00,2%,1% (5%),5% (30%),5% (30%),Light Up
Tranquil,Epic,Su,Serenity+sun+[weather:blossoms],16:00:00,3%,1% (5%),5% (30%),5% (30%),Tran-quill-ity
Binky,Epic,DrSu,Nightmare+Tranquil,24:00:00,4.25%,10% (20%),1% (30%),1% (30%),Jungle Juggle
Lageto,Epic,CASu,Midday+cold+air,24:00:00,2.5%,4% (15%),1% (30%),1% (30%),A Good Scoop
Kann,Epic,PWSu,Sun+Hanno,36:00:00,4.5%,1% (15%),5% (30%),5% (30%),Slither Hither
Alayzem,Epic,Su,Kann+Crawler,20:00:00,3.3%,1.5% (15%),5% (30%),5% (30%),Sandy Peaks
Nubis,Epic,EASu,Sun+earth+air,20:00:00,3.1%,1.5% (15%),5% (30%),5% (30%),Solar Power
Tutan,Epic,Su,Pharaoh+Sunstruck,23:00:00,4.2%,1.5% (15%),5% (30%),5% (30%),Under Orion
Sumi,Epic,PFEASf,plant+fire+earth+air,19:00:00,2% (1%),1% (10%),1% (?%),1% (?%),Inky Heights
Eve,Epic,Sf,cold+water+metal,23:00:00,1%,1.5% (10%),1% (25%),1% (25%),Silverfalls Gorge
Kaiju,Epic,Sf,fire+water+dark,30:00:00,1.5%,1.5% (10%),1% (?%),1% (?%),Cancelling the Apocalypse
Sprite,Epic,Sf,plant+air+light,26:00:00,1%,1.5% (10%),1% (25%),1% (25%),Rolling and Rollicking
Oracle,Epic,Sf,earth+lightning+light,27:30:00,1.5%,1.5% (10%),1% (25%),1% (?%),Passage of Prophecy
Totem,Epic,Sf,plant+earth+cold,24:30:00,1.5%,1.5% (10%),1% (25%),1% (?%),Wooden Way
Festive,Epic,Sf,plant+earth+cold,25:00:00,1.5%,1.5% (10%),1% (20%),1% (20%),Jingle Jangle
Knarr,Epic,Sf,earth+air+cold,28:00:00,1.5%,1.5% (10%),1% (20%),1% (1%),Starboard Bound
Shiver,Epic,Sf,cold+air+light,27:00:00,1.5%,1.5% (10%),1% (20%),1% (20%),Escapades on Ice
Tusk,Epic,Sf,cold+water+earth,22:00:00,1.5%,1.5% (10%),1% (20%),1% (20%),Sharp Insights
Gold,Epic,Tr,fire+metal,48:00:00,2%,1% (5%),?% (?%),?% (?%),Carat Coulee
Silver,Epic,Tr,cold+metal,47:00:00,3%,2% (5%),?% (?%),?% (?%),Rudna's Rollick
Platinum,Epic,Tr,water+metal,49:00:00,1.5%,1% (5%),?% (?%),?% (?%),Sickengen's Den
Electrum,Epic,Tr,lightning+metal,47:30:00,2.5%,2% (10%),?% (?%),?% (?%),Stater's Stash
Bronze,Epic,Tr,earth+metal,46:00:00,3.5%,3% (10%),10% (?%),?% (?%),Lerner's Toyshop
Loot,Epic,Tr,Gold+plant,35:00:00,1%,1% (5%),?% (?%),?% (?%),Plunder Thunder
Misfortune,Epic,ApTr,treasure+apocalypse+[night],46:00:00,1.5% (0.5%),1% (5%),5% (?%),5% (?%),Misadventure Time
Djinni,Epic,Tr,lightning+water+air+metal,48:00:00,0.5%,1% (5%),5% (?%),5% (?%),Cave of Wanderers
Opulent,Epic,Tr,plant+fire+water+lightning,40:00:00,1%,1% (5%),5% (?%),5% (?%),Affluent Adventure
Regal,Epic,Tr,plant+water+air+light,36:00:00,4% (2%),1% (5%),5% (?%),5% (?%),Trail of Regale
Scarab,Epic,Tr,Gold+Loot,46:00:00,1.5% (0.5%),1% (5%),5% (?%),5% (?%),Glitter Glen
Gawk,Epic,ATr,Regal+Gold,22:00:00,4%,1.5% (15%),5% (30%),5% (30%),Bird of Paradise
Lazuli,Epic,WTr,Scarab+Bronze,24:00:00,4%,1.5% (15%),5% (30%),5% (30%),Dolphins Of The Sky
Trove,Epic,Tr,Misfortune+Electrum,26:00:00,4%,1.5% (15%),5% (30%),5% (30%),Gold Detector
Alure,Epic,WTr,Djinni+Silver,28:00:00,4%,1.5% (15%),5% (30%),5% (30%),Song Of The Siren
Yarr,Epic,WTr,Loot+Platinum,30:00:00,3.75%,1.5% (15%),5% (30%),5% (30%),Sail The High Seas
Luck,Epic,PETr,Misfortune+Clover,15:00:00,4%,10% (20%),1% (30%),1% (30%),Lucky Day
Corsair,Epic,WTr,Yarr+Djinni,31:00:00,4.15%,10% (20%),1% (30%),1% (30%),Seeking Thrills
Curse,Epic,WTr,Misfortune+Alure,32:00:00,4.25%,1% (15%),5% (30%),5% (30%),Malediction
Jackpot,Epic,Tr,Loot+Gold,27:00:00,3.77%,1.5% (15%),5% (30%),5% (30%),Get Lucky
Saharus,Epic,Tr,Scarab+Sand,23:00:00,4.05%,1.5% (15%),5% (30%),5% (30%),Coarse and Rough
Efreet,Epic,Tr,Djinni+Misfortune,26:00:00,4.3%,1.5% (15%),5% (30%),5% (30%),Ominous Wishes
Aurum,Epic,Tr,Gold+Gawk,30:00:00,4.55%,1.5% (15%),5% (30%),5% (30%),Oh Shiny
Clover,Rare,PE,Moss+plant,7:00:00,4%,3% (5%),1% (?%),1% (?%),Misfortune Marsh
Bloom,Rare,PCL,Storm+plant,13:00:00,4%,2% (10%),1% (?%),1% (?%),Efflorescent Expedition
Sakura,Rare,PFE,Tree+Flower,10:00:00,5%,3% (10%),1% (?%),1% (?%),The Springening
Butterfly,Rare,FLA,Firefly+air,12:00:00,5%,3% (10%),1% (?%),1% (?%),Sykie Meadows
Rose,Rare,PFA,Flower+air,14:00:00,5%,3.5% (15%),1% (?%),1% (?%),Nadia's Nursery
Spring,Epic,Se,cold+lightning+fire,24:00:00,4%,3% (5%),?% (?%),?% (?%),Akitu's Assay
Motley,Rare,PF,[any 2 dragons],13:00:00,4% (1% [0.5%]),3% (10%),1% (?%),1% (?%),Wild Side
Terradiem,Rare,PEWA,earth+air+water+plant,24:00:00,4%,3% (5%),1% (30%),1% (30%),Globe Trot
Bouquet,Rare,PFW,Flower+water,9:00:00,5%,3% (10%),1% (?%),1% (?%),Floral Flight
Arbor,Rare,PE,Tree+Forest,10:00:00,4%,3% (5%),1% (?%),1% (?%),Garden Warden
Sprout,Epic,Se,light+water+earth,36:00:00,3%,2% (5%),?% (?%),?% (?%),Budding Bayou
Thorn,Rare,PM,metal+plant,7:00:00,5%,4% (10%),1% (?%),1% (?%),Spiky Spire Brier
Sumi,Epic,PFEASf,plant+fire+earth+air,19:00:00,2% (1%),1% (10%),1% (?%),1% (?%),Inky Heights
Rosebud,Rare,PFEA,Rose+earth,18:00:00,1%,2% (10%),5% (?%),5% (?%),Cadberry Wells
Hooded,Rare,PFLM,lightning+plant+fire+metal,12:00:00,1.5%,2% (10%),1% (?%),1% (?%),Sssensational Sojourn
Daylily,Rare,PFA,air+fire+plant,16:00:00,5%,3.5% (10%),1% (30%),1% (30%),Daily Lily
Clairvoyant,Rare,CID,cold+dark+light,12:00:00,5%,1% (5%),5% (30%),5% (30%),Do You See What Icy
Woodvine,Rare,PEA,Willow+earth+air,14:00:00,5%,1% (5%),5% (30%),5% (30%),Run Through the Vines
Swiftgrace,Rare,LID,lightning+dark+light,32:00:00,2%,1.5% (10%),1% (30%),1% (30%),Beauty and Grace
Vipera,Rare,PFLI,Wick+Hooded,25:00:00,2.5%,10% (20%),1% (30%),1% (30%),Clinch Location
Flowerhop,Rare,PEAI,air+light+earth+plant,22:00:00,3%,10% (20%),1% (30%),1% (30%),Treehop Time
Peoni,Rare,PECL,Sakura+Bloom,22:00:00,4%,1.5% (5%),1% (30%),1% (30%),Heavy Petal
Wolper,Rare,PFEI,Bilby+Cocoahollow,22:00:00,4%,1.5% (5%),1% (30%),1% (30%),Hip and Hop
Narcis,Epic,MDAp,Ouroboros+dark+metal,28:00:00,4.5%,10% (20%),1% (30%),1% (30%),Daffadowndilly's Cousin
Kroki,Rare,PFEA,Daylily+plant+earth,28:00:00,4.5%,10% (20%),1% (30%),1% (30%),Bug-eyed Bloom
Florea,Rare,PFEA,Rosebud+Woodvine,28:00:00,4.5%,10% (20%),1% (30%),1% (30%),The Perfect Caregiver
Fushi,Rare,PEAI,Flowerhop+plant+air,28:00:00,4.5%,10% (20%),1% (30%),1% (30%),An Experimental Surprise
Arcrider,Rare,PEAI,Wolper+Florea,24:00:00,3.75%,1% (15%),5% (30%),5% (30%),Colourful Ride
Quaa,Rare,PFEA,Woodvine+Kroki,26:00:00,3.5%,1% (15%),5% (30%),5% (30%),Loud and Unclear
Fae,Epic,Dr,Glasswing+Snooz,26:00:00,4%,1% (15%),5% (30%),5% (30%),A Magical Puff
Niamh,Rare,PEAI,Meadow+earth+air,30:00:00,1.5%,1% (15%),5% (30%),5% (30%),Whiff of Spring
Ancestor,Rare,PECA,Panlong+Redbeard,20:00:00,3.5%,10% (20%),1% (30%),1% (30%),Blessing of Wisdom
Ichigo,Rare,PEWI,Berry+plant+earth,17:00:00,3.1%,10% (20%),1% (30%),1% (30%),Strawberry Nice
Chikipea,Rare,PEAI,plant+earth+light+air,19:00:00,2.6%,10% (20%),1% (30%),1% (30%),Yellow Eyed Peas
Somnig,Rare,WAID,Snooz+Fae,26:00:00,2.95%,10% (20%),1% (30%),1% (30%),Afternoon Nap
Panlong,Rare,FEWA,water+air+earth+fire,36:00:00,3%,1% (5%),0.5% (?%),0.5% (?%),Year of the Dragon
Leap Year,Epic,Rb,[4 elements],14:30:00,4% (2%),1% (5%),?% (?%),?% (?%),Intercalary Anarchy
Blue Moon,Epic,Mo,cold+lightning,29:31:48,4% (3%),3% (5%),?% (?%),?% (?%),Lunar Blues
Apocalypse,Epic,Ap,plant+cold+metal+lightning,20:12:00,3%,1% (5%),?% (?%),?% (?%),Prophetic Pursuit
Century,Rare,ECW,earth+water+cold,10:00:00,3%,1% (5%),0.5% (30%),0.5% (30%),Five Score Frenzy
Bicentennial,Rare,FLA,lightning+fire+air,20:00:00,2%,1% (5%),0.5% (?%),0.5% (?%),Ten Score Trench
Double Leap Year,Epic,Rb,[4 elements],29:00:00,3% (1%),1% (5%),?% (25%),?% (25%),Twice Leapt Valley
Fates,Epic,Ol,plant+fire+water,20:00:00,1.5%,1% (5%),5% (30%),5% (30%),Triad Trench
Seraph,Rare,FAI,light+air+fire,40:00:00,2%,2% (10%),1% (?%),1% (?%),Soaring Heights
Quintessence,Rare,PFEWM,metal+plant+fire+earth+water,50:00:00,2%,1.5% (10%),1% (30%),1% (30%),A Guardian's Guide
Triple Leap Year,Epic,Rb,[4 elements],30:00:00,3% (1%),1% (5%),5% (30%),5% (30%),Third Leap Year
Combustion,Rare,FAMD,metal+fire+air+dark,60:00:00,2%,1.5% (10%),1% (30%),1% (30%),Come-bust-out Some Moves
Hyperion,Epic,Ap,Fury+Narcis,70:00:00,2%,1.5% (10%),1% (30%),1% (30%),Powerful Presence
Ice,Hybrid,CW,cold+water,8:00:00,*%,10% (20%),1% (?%),1% (?%),Flash Freeze
Mud,Hybrid,EW,earth+water,6:00:00,*%,10% (20%),1% (?%),1% (?%),Luck in the Muck
Seaweed,Hybrid,PW,plant+water,5:00:00,*%,10% (20%),1% (?%),1% (?%),Nori Cove
Swamp,Hybrid,PW,plant+water,9:00:00,*%,10% (20%),1% (?%),1% (?%),Madcap Muskeg
Water,Primary,W,,4:00:00,$%,0% (?%),0% (?%),0% (?%),
Fog,Hybrid,WA,water+air,8:00:00,*%,10% (20%),1% (?%),1% (?%),Miasma Menace
Iceberg,Hybrid,CW,cold+water,8:00:00,*%,10% (20%),1% (?%),1% (?%),Broken Ice Shelf
Rust,Hybrid,WM,water+metal,6:00:00,*%,10% (20%),1% (?%),1% (?%),Corrosion Excursion
Plasma,Rare,WL,lightning+water,16:00:00,5%,4% (10%),1% (?%),1% (?%),Ionized Guise
Current,Rare,WL,water+lightning,16:00:00,5%,4% (15%),1% (?%),1% (?%),Sparkflow Connection
Quicksilver,Hybrid,WM,water+metal,18:00:00,*%,10% (20%),1% (?%),1% (?%),Mercurial Madness
Rain,Hybrid,WA,water+air,8:00:00,*%,10% (20%),1% (?%),1% (?%),Torrential Tribulation
River,Hybrid,EW,earth+water,13:00:00,*%,10% (20%),1% (?%),1% (?%),Ami'Lya's Adventure
Coral,Hybrid,FW,fire+water,11:30:00,*%,10% (20%),1% (?%),1% (?%),Kelpy Corrale
Salamander,Hybrid,FW,fire+water,9:30:00,*%,10% (20%),1% (?%),1% (?%),Amphibian Meridian
Lotus,Hybrid,WI,water+light,7:00:00,*%,10% (20%),1% (?%),1% (?%),Transcendent Traversal
Shimmer,Hybrid,WI,light+water,11:00:00,*%,10% (15%),1% (?%),1% (?%),Caught in the Crimson Sea
Abyss,Hybrid,WD,water+dark,7:30:00,*%,10% (20%),1% (?%),1% (?%),Lantern Deeps
Ooze,Hybrid,WD,dark+water,18:30:00,*%,10% (20%),1% (?%),1% (?%),Ancient Madness
Nectar,Rare,WI,light+water,5:00:00,5%,4% (15%),1% (?%),1% (?%),Tower of Tantalia
Geode,Rare,EW,earth+water,23:00:00,5%,4% (15%),1% (?%),1% (?%),Sediment Impediment
Vortex,Rare,WA,water+air,14:00:00,5%,4% (10%),1% (?%),1% (?%),Spiraling Storm
Bubble,Rare,WA,air+water,10:00:00,5%,4% (10%),1% (?%),1% (?%),Sudsy Shores
Conch,Rare,WM,metal+water,6:00:00,5%,4% (10%),1% (?%),1% (?%),Mollusca Marina
Lagoon,Rare,WI,water+light,12:00:00,5%,4% (10%),1% (?%),1% (?%),Highlands Havoc
Quicksand,Rare,EW,water+earth,15:00:00,5%,4% (10%),1% (?%),1% (?%),Sandy Canyon
Trench,Rare,WD,water+dark,7:30:00,5%,4% (10%),1% (?%),1% (?%),Anayrahm Dive
Surge,Rare,WL,lightning+water,16:00:00,5%,4% (15%),1% (30%),1% (30%),Glow 'n' Go
Steam,Rare,FW,water+fire,12:00:00,5%,4% (15%),1% (?%),1% (?%),Ephemeral Spire
Snowsquall,Rare,CWR,cold+water+rift+[cold trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Tentacle Terrace
Water Rift,Primary Rift,WR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Oceanic Portals
Kampos,Rare,WAR,rift+[water trait],0:00:00,3% (1%),0% (0%),0% (0%),1% (15%),Ye Olde Rescue
Nimbus,Rare,FWR,fire+water+rift+[light trait],0:00:00,2%,0% (0%),0% (0%),1% (15%),Nimble Narrows
Tidepool,Rare,PW,water+plant,9:00:00,5%,4% (15%),1% (30%),1% (30%),Turning the Tides
Drifter,Rare,WM,water+metal,6:00:00,4%,4% (15%),1% (30%),1% (30%),Flowing Riffs
Frond,Rare,PW,plant+water,14:00:00,5%,10% (20%),1% (30%),1% (30%),Righteous Relaxation
Aquacorn,Rare,CW,water+cold,12:00:00,5%,10% (10%),1% (30%),1% (30%),Wet and Magical
Aperture,Rare,CW,cold+water,12:00:00,5%,10% (20%),1% (30%),1% (30%),Port Enthusiast
Dapplethorn,Rare,WD,dark+water,18:00:00,3%,10% (20%),1% (30%),1% (30%),A Thorn in the Side
Ignaqtus,Rare,FW,fire+water,18:00:00,3%,10% (20%),1% (30%),1% (30%),Firewater
Reindeer,Rare,PC,plant+cold,5:00:00,7%,5% (10%),1% (?%),1% (?%),Sandakloz's Surprise
Gift,Rare,PFC,plant+fire+cold,12:25:00,7%,5% (10%),1% (?%),1% (?%),Giving Gulch
Mistletoe,Rare,PEC,Tree+Lichen,8:00:00,3%,10% (10%),1% (?%),1% (?%),Thistlethumb Dig
Winter,Epic,Se,cold+earth+air,24:00:00,4%,1% (5%),?% (?%),?% (?%),Stark Tundra
Snowflake 1,Epic,Sn,snowflake+snowflake,2:30:00,20%,0% (0%),0% (0%),?% (0%),
Snowflake 2,Epic,Sn,snowflake+snowflake,2:30:00,20%,0% (0%),0% (0%),?% (0%),
